Number,Arabic,Romanized Arabic,English
887,دعم,da‘m,support
888,خطاب,khitaab,speech
889,الطبيعة,at-tabee‘a,nature
890,مجموعة,majmoo‘a,range
891,البخار,al-bukhaar,steam
892,الحركة,al-haraka,motion
893,مسار,masaar,path
894,السائل,as-saa’il,liquid
895,تسجيل,tasjeel,log
896,مقصود,maqsood,meant
897,حاصل,haasil,quotient
898,أسنان,asnaan,teeth
899,قذيفة,qadheefa,shell
900,الرقبة,ar-raqaba,neck
901,الأكسجين,al-uksujeen,oxygen
902,السكر,as-sukkar,sugar
903,الموت,al-mawt,death
904,جميل,jameel,pretty
905,مهارة,mahaara,skill
906,النساء,an-nisaa’,women
907,الموسم,al-mawsim,season
908,حل,hall,solution
909,مغناطيس,mighnaatees,magnet
910,فضة,fidda,silver
911,شكرا,shukran,thank
912,فرع,far‘,branch
913,مباراة,mubaaraah,match
914,لاحقة,laahiqa,suffix
915,خاصة,khaassa,especially
916,تين,teen,fig
917,خائف,khaa’if,afraid
918,ضخم,dhakhm,huge
919,شقيقة,shaqeeqa,sister
920,الصلب,as-sulb,steel
921,بحث,bahth,discuss
922,إلى الأمام,ila al-amaam,forward
923,مماثل,mumaathil,similar
924,توجيه,tawjeeh,guide
925,التجربة,at-tajriba,experience
926,النتيجة,an-nateejah,score
927,تفاحة,tuffaaha,apple
928,اشترى,ishtara,bought
929,أدى,adda,led
930,رمية,ramya,pitch
931,معطف,mi‘taf,coat
932,كتلة,kutla,mass
933,بطاقة,bitaaqa,card
934,فرقة,firqa,band
935,حبل,habl,rope
936,انزلاق,inzilaq,slip
937,الفوز,al-fawz,win
938,حلم,hulm,dream
939,مساء,masaa’,evening
940,حالة,haala,condition
941,علف,‘alaf,feed
942,أداة,adaa,tool
943,الكل,al-kull,total
944,الأساسية,al-asaasiyya,basic
945,رائحة,raa’iha,smell
946,الوادي,al-waadi,valley
947,ولا,wa laa,nor
948,ضعف,da‘f,double
949,مقعد,maq‘ad,seat
950,تواصل,tawassul,continue
951,كتلة,kutla,block
952,جدول,jadwal,chart
953,قبعة,qubba‘a,hat
954,بيع,bay‘,sell
955,نجاح,najah,success
956,شركة,sharika,company
957,طرح,tarh,subtract
958,حدث,hadath,event
959,خاصة,khaassa,particular
960,صفقة,safqa,deal
961,السباحة,as-sibaaha,swim
962,مصطلح,mustalah,term
963,العكس,al-‘aks,opposite
964,زوجة,zawja,wife
965,حذاء,hithaa’,shoe
966,الكتف,al-katif,shoulder
967,انتشار,intishaar,spread
968,رتب,rattab,arrange
969,مخيم,mukhayyam,camp
970,اختراع,ikhtiraa‘,invent
971,قطن,qutn,cotton
972,الولادة,al-wilaadah,born
973,حدد,haddad,determine
974,رابعا,raabi‘an,quart
975,تسعة,tis‘a,nine
976,شاحنة,shaahina,truck
977,الضوضاء,ad-dawdhaa’,noise
978,مستوى,mustawa,level
979,فرصة,fursa,chance
980,جمع,jam‘,gather
981,متجر,matjar,shop
982,امتداد,imtidaad,stretch
983,رمي,ramy,throw
984,تألق,ta’allaq,shine
985,الملكية,al-milkiyya,property
986,عمود,‘amood,column
987,جزيء,juzi’,molecule
988,اختر,ikhtar,select
989,خاطئ,khaati’,wrong
990,رمادي,ramaadi,gray
991,كرر,karrar,repeat
992,تتطلب,tatatalab,require
993,واسع,waasi‘,broad
994,إعداد,i‘daad,prepare
995,ملح,milh,salt
996,الأنف,al-anf,nose
997,الجمع,al-jam‘,plural
998,غضب,ghadhab,anger
999,مطالبة,mutaalaba,claim
1000,القارة,al-qaara,continent
